FundingModel,AdmissionRate,ACTMedian,SATAverage,AverageCost,MedianEarnings
Public,0.8989,17,823,18888,27000
Public,0.8673,25,1146,19990,37200
Public,0.8062,26,1180,20306,41500
Public,0.5125,17,830,17400,22400
Public,0.5655,26,1171,26717,39200
Public,0.8371,21,970,16556,32400
Public,0.8274,27,1215,23788,41800
Private,0.6422,26,1177,44512,38200
Private,0.6279,22,999,31433,33000
Public,0.8326,23,1036,19202,31300
Private,0.7388,22,1023,27815,25300
Public,0.9957,20,950,17959,32200
Public,0.6034,22,1040,16520,37900
Private,0.7125,23,1058,30108,32900
Public,0.8729,23,1070,20209,30400
Public,0.8092,22,1028,15058,33000
Private,0.3435,20,924,34705,27300
Private,0.7697,26,1153,38835,41400
Public,0.8604,23,1064,17125,34400
Private,0.4627,24,1100,43325,37500
Private,0.9615,21,970,19127,27200
Private,0.43,19,882,24744,23200
Public,0.6821,21,990,16877,33800
Private,0.3511,20,937,32853,30800
Private,0.3745,22,1008,42925,38000
Public,0.8023,25,1145,21960,41200
Public,0.7692,24,1106,23905,40000
Private,0.7898,26,1171,45228,53800
Public,0.9137,23,1050,22771,36200
Private,0.7293,26,1094,40206,30800
Private,0.6076,23,1045,34444,29300
Public,0.5274,24,1077,19894,31600
Private,0.5898,25,1142,33355,35500
Public,0.5858,26,1156,19917,39200
Public,0.277,18,842,15414,23700
Public,0.7551,24,1088,18809,29100
Public,0.8503,22,1008,16126,30600
Public,0.8997,23,1070,17899,33300
Private,0.5407,21,974,20386,31200
Private,0.7628,25,1139,25475,35500
Public,0.6221,22,1011,18033,32300
Private,0.8039,29,1267,50172,36100
Private,0.6982,25,1144,33326,43100
Private,0.7011,24,1090,31473,34600
Private,0.6136,23,1057,34532,33300
Public,0.5838,20,930,11593,25000
Private,0.6798,22,1001,22330,28400
Public,0.6081,21,989,17738,31700
Public,0.5736,22,1028,14335,28400
Private,0.7985,24,1098,44021,45800
Private,0.7286,25,1123,44573,37600
Private,0.788,21,984,39026,36600
Private,0.1055,34,1534,56382,60100
Private,0.4802,24,1108,48630,44300
Public,0.3123,28,1242,23867,55400
Public,0.6626,19,901,18061,42300
Public,0.7215,19,917,17161,38500
Public,0.5831,18,888,17030,40600
Public,0.5218,23,1070,19402,45000
Public,0.7161,22,1014,22926,41100
Public,0.5747,17,845,12957,39100
Public,0.5815,19,920,16377,38100
Public,0.4579,22,1021,16663,40500
Public,0.6872,19,910,20676,45800
Public,0.3082,21,1012,18085,42400
Public,0.6752,18,871,14747,39400
Public,0.4624,19,918,20899,38300
Public,0.6968,20,945,19380,42700
Public,0.18,30,1350,32715,53000
Public,0.4521,26,1192,31803,48500
Public,0.4239,24,1122,28980,47100
Public,0.2199,28,1289,31474,51000
Public,0.62,23,1078,29787,41100
Public,0.375,28,1276,29751,50100
